ECA Epsilon-Carinids     04/12 - 26/12 15/12 263.70 129.0 -58.0   0.00   0.00  0.0 0.00 <2  4
ECR Eta-Carinids         28/12 - 04/02 01/01 280.70 160.0 -60.0   0.00   0.00  0.0 0.00 <2  4
EER Epsilon-Eridanids    09/09 - 12/09 10/09 167.70  57.0 -12.0   0.00   0.00  0.0 0.00 <2  4
EGE Epsilon-Geminids     14/10 - 27/10 18/10 205.00 102.0  27.0   1.00   0.00 70.4 3.00 2   2
ERI Pi-Eridanids         20/08 - 05/09 28/08 155.70  52.0 -15.0   0.70   0.20 59.0 2.80 <2  4
ETA Eta-Aquarids         19/04 - 28/05 06/05  45.50 338.0  -1.0   0.90   0.40 66.0 2.70 60  1
FBO Phi-Bootids          16/04 - 12/05 30/04  40.70 240.0  51.0   0.00   0.00 12.0 0.00 <2  4
GCA Gamma-Capricornids   26/04 - 25/05 11/05  47.70 326.0 -17.0   0.00   0.00  0.0 0.00 <2  4
GCO Gamma-Corvids        08/01 - 29/01 22/01 302.70 185.0 -18.0   0.00   0.00  0.0 0.00 <2  4
GDO Gamma-Doradids       19/08 - 06/09 30/08 157.70  67.0 -54.0   0.00   0.00  0.0 0.00 <2  4
GEM Geminids             07/12 - 17/12 14/12 262.00 112.3  32.5   1.02  -0.07 35.0 2.60 120 1
GIA Giacobinids          06/10 - 10/10 09/10 195.40 262.1  54.1   0.40   0.00 23.0 2.60 var 3
GNO Gamma-Normids        25/02 - 22/03 14/03 353.00 249.0 -51.0   1.20   0.20 56.0 2.40 <2  4
GPH Gamma-Phoenicids     24/06 - 18/07 07/07 105.70  18.0 -43.0   0.00   0.00  0.0 0.00 <2  4
GPU Gamma-Puppids        28/09 - 30/10 15/10 202.70 109.0 -44.0   0.60  -0.20 43.0 2.90 <2  4
GSA Gamma-Sagittariids   27/05 - 13/06 06/06  75.70 272.0 -28.0   1.00   0.00 29.0 2.90 <2  4
HYD Sigma-Hydrids        03/12 - 15/12 11/12 260.00 127.0   2.0   0.80  -0.20 58.4 3.00 3   2
IAQ Iota-Aquarids N&S    15/07 - 20/09 05/08 131.70 330.0  -5.0   1.08   0.15  0.0 2.90 <2  4
ISC Iota-Scorpiids       30/05 - 18/06 08/06  78.70 265.0 -40.0   0.00   0.00  0.0 0.00 <2  4
JBO June Bootids         26/06 - 30/06 28/06  95.80 230.0  47.0   0.60  -0.40 18.0 3.00 var 3
JLY June Lyrids          11/06 - 21/06 16/06  85.20 278.0  35.0   0.50   0.00 31.0 3.00 <2  4
JPE July Pegasids        07/07 - 13/07 09/07 107.50 340.0  15.0   0.80   0.20 70.0 3.00 <2  4
KAQ Kappa-Aquarids       08/09 - 30/09 20/09 178.70 339.0  -2.0   0.80   0.40 16.0 3.00 <2  4
KCG Kappa-Cygnids        03/08 - 25/08 18/08 145.00 286.0  59.0   0.30   0.10 24.8 3.00 3   2
KSC Kappa-Scorpiids      04/05 - 27/05 19/05  55.70 267.0 -39.0   1.00   0.00 45.0 2.80 <2  4
KSE Kappa-Serpentids     01/04 - 07/04 04/04  14.70 230.0  18.0   0.00   0.00 45.0 0.00 <2  4
LEO Leonids              07/11 - 22/11 18/11 235.16 152.3  22.2   0.70  -0.42 71.1 2.50 15  1
LIB Librids              08/06 - 09/06 08/06  78.90 227.2 -28.3   0.00   0.00 16.0 0.00 <2  4
LMI Leo Minorids         22/10 - 24/10 24/10 211.70 162.0  37.0   0.00   0.00 61.8 0.00 2   2
