Homam, HR 8634
Horna, HAT-P-38, UCAC4 612-006640
Hunahpu, HD 98219, TYC 6649-807-1, UCAC4 331-064426
Hunor, HAT-P-2, HD 147506, TYC 3065-1195-1, UCAC4 656-058505
Iklil, HR 5928
Illyrian, HD 82886, TYC 2497-418-1, UCAC4 624-043631
Imai, HR 4656
Inquill, HD 156411, TYC 8345-4656-1, UCAC4 208-148573
Intan, HD 20868, TYC 7023-236-1, UCAC4 282-003383
Intercrus, HR 3743
Irena, WASP-38, HD 146389, TYC 950-1156-1, UCAC4 501-063756
Itonda, HD 208487, TYC 7982-636-1, UCAC4 262-193718
Izar, HR 5506
Jabbah, HR 6027
Jishui, HR 2930
Kaffaljidhma, HR 804
Kalausi, HD 83443, TYC 7704-39-1, UCAC4 234-037564
Kamuy, HD 145457, TYC 2038-1873-1, UCAC4 584-052562
Kang, HR 5315
Karaka, HD 137388, TYC 9437-1921-1, UCAC4 049-015261
Kaus Australis, HR 6879
Kaus Borealis, HR 6913
Kaus Media, HR 6859
Kaveh, HD 175541, TYC 457-495-1, UCAC4 472-085768
Keid, HR 1325
Khambalia, HR 5359
Kitalpha, HR 8131
Kochab, HR 5563
Koeia, HIP 12961, TYC 6434-494-1, UCAC4 335-003106
Koit, XO-4, TYC 3793-1994-1, UCAC4 742-045693
Kornephoros, HR 6148
Kraz, HR 4786
Kurhah, HR 8417
La Superba, HR 4846
Larawag, HR 6241
Lerna, HAT-P-42, UCAC4 481-046105
Lesath, HR 6508
Libertas, HR 7595
Lich, PSR B1257+12
Liesma, HD 118203, TYC 3850-458-1, UCAC4 719-052573
Lilii Borea, HR 824
Lionrock, HD 212771, TYC 6385-788-1, UCAC4 364-185026
Lucilinburhuc, HD 45350, TYC 2927-323-1, UCAC4 645-038084
Lusitania, HD 45652, TYC 736-601-1, UCAC4 505-027725
Maasym, HR 6526
Macondo, HD 93083, TYC 7190-2048-1, UCAC4 283-061066
Mago, HD 32518, HR 1636, UCAC4 799-013070
Mahasim, HR 2095
Mahsati, HD 152581, TYC 983-872-1, UCAC4 510-063258
Maia, HR 1149
Malmok, WASP-39, UCAC4 433-060845
Marfik, HR 6149
Markab, HR 8781
Markeb, HR 3734
Marsic, HR 6008
Matar, HR 8650
Mazaalai, HAT-P-21, TYC 3013-1229-1, UCAC4 656-053665
Mebsuta, HR 2473
Megrez, HR 4660
Meissa, HR 1879
Mekbuda, HR 2650
Meleph, HR 3429
Menkalinan, HR 2088
Menkar, HR 911
Menkent, HR 5288
Menkib, HR 1228
Merak, HR 4295
Merga, HR 5533
Meridiana, HR 7254
Merope, HR 1156
Mesarthim, HR 546
Miaplacidus, HR 3685
Mimosa, HR 4853
Minchir, HR 3418
Minelauva, HR 4910
Mintaka, HR 1852
Mira, HR 681
Mirach, HR 337
Miram, HR 834
Mirfak, HR 1017
Mirzam, HR 2294
Misam, HR 941
Mizar, HR 5054
Moldoveanu, XO-1, TYC 2041-1657-1, UCAC4 591-055284
Montuno, WASP-79, TYC 7038-834-1, UCAC4 297-004705
Morava, WASP-60, TYC 2767-1746-1, UCAC4 606-137827
Moriah, HAT-P-23, TYC 1632-1396-1, UCAC4 534-126246
Mothallah, HR 544
Mouhoun, HD 30856, TYC 6466-1769-1, UCAC4 329-005996
Mpingo, WASP-71, TYC 30-116-1, UCAC4 454-002361
Muliphein, HR 2657
Muphrid, HR 5235
Muscida, HR 3323
Musica, HR 8030
Muspelheim, HAT-P-29, TYC 3293-1539-1, UCAC4 709-017237
Marohu, WASP-6, TYC 6972-75-1, UCAC4 337-204550
Monch, HD 130322, TYC 4986-302-1, UCAC4 449-056731
Nahn, HR 3627
Naledi, WASP-62, TYC 8900-874-1, UCAC4 131-006781
Naos, HR 3165
Nashira, HR 8278
Natasha, HD 85390, TYC 8189-1278-1, UCAC4 202-034352
Nekkar, HR 5602
Nembus, HR 464
Nenque, HD 6434, TYC 7533-1111-1, UCAC4 253-001170
Nervia, HD 49674, TYC 2946-426-1, UCAC4 655-045883
Nihal, HR 1829
Nikawiy, HD 136418, TYC 3048-172-1, UCAC4 659-057589
Nosaxa, HD 48265, TYC 8108-493-1, UCAC4 208-009376
Nunki, HR 7121
Nusakan, HR 5747
Nushagak, HD 17156, TYC 4321-1320-1, UCAC4 809-008907
Nyamien, WASP-15, TYC 7283-1162-1, UCAC4 290-072855
Nasti, HD 68988, TYC 4126-818-1, UCAC4 758-040840
Ogma, HD 149026, TYC 3063-1587-1, UCAC4 642-052821
Okab, HR 7235
Paikauhale, HR 6165
