Alp = alpha
Bet = beta
Gam = gamma
Del = delta
Eps = epsilon
Zet = zeta
Eta = eta
The = theta
Iot = iota
Kap = kappa
Lam = lambda
Mu = mu
Nu = nu 
Xi = xi
Omi = omicron
Pi = pi
Rho = rho
Sig = sigma  
Tau = tau
Ups = upsilon  
Phi = phi 
Chi = chi   
Psi = psi  
Ome = omega
