Palus Somni	163.45	13.69	44.72	PA
Hausen	163.24	-65.11	271.51	AA
Drygalski	162.49	-79.57	272.82	AA
Catena Humboldt	162.29	-21.98	84.7	CA
Lagrange	162.21	-32.6	288.55	AA
Rimae Grimaldi	162	-6.18	296.1	RI
Montes Agricola	159.76	29.06	305.93	MO
Sinus Concordiae	159.03	10.98	42.47	SI
Lacus Mortis	158.78	45.13	27.32	LC
Ashbrook	157.68	-81.1	249.42	AA
Rima Sheepshanks	157.49	58.28	23.69	RI
Hedin	157.38	2.87	283.43	AA
Rima Suess	156.39	6.62	312.86	RI
Riccioli	155.66	-2.9	285.58	AA
Maginus	155.58	-50.03	354.02	AA
Vallis Alpes	155.42	49.21	3.63	VA
J. Herschel	154.44	62.31	318.14	AA
Ptolemaeus	153.67	-9.16	358.16	AA
Lacus Timoris	153.65	-39.42	332.05	LC
Rimae Repsold	152.05	50.74	279.54	RI
Lyot	150.6	-50.47	84.8	AA
Dorsum Heim	146.79	32.2	330.17	DO
Babbage	146.56	59.56	302.62	AA
Montes Archimedes	146.54	25.39	354.75	MO
MARE ANGUIS	145.99	22.43	67.58	ME
Longomontanus	145.5	-49.55	338.12	AA
Hirayama	145.21	-6.01	93.63	AA
Vallis Inghirami	145.08	-43.95	287.41	VA
Rupes Liebig	144.78	-25.14	314.08	RU
Pythagoras	144.55	63.68	297.02	AA
Neper	144.32	8.76	84.58	AA
Hipparchus	143.95	-5.36	4.91	AA
MARE SPUMANS	143.13	1.3	65.3	ME
Dorsa Mawson	142.71	-7.77	52.48	DO
Vendelinus	141.21	-16.46	61.55	AA
Rima Milichius	140.72	8.03	327.13	RI
Rimae Daniell	140.25	37.53	24.33	RI
Catena Sylvester	139	79.99	276.88	CA
Dorsa Whiston	138.93	29.77	303.04	DO
Curie	138.87	-23.05	92.28	AA
Abel	137.35	-34.63	85.78	AA
Brianchon	137.26	74.75	271.64	AA
Balmer	136.3	-20.27	70.22	AA
De La Rue	135.22	59.02	52.84	AA
Furnerius	135.03	-36	60.54	AA
Walther	134.23	-33.25	0.62	AA
Mee	134.11	-43.63	324.81	AA
Rima Bradley	133.76	24.17	359.4	RI
Hecataeus	133.67	-22.06	79.68	AA
Rupes Mercator	132.4	-30.21	337.16	RU
Langrenus	131.98	-8.86	61.04	AA
Albategnius	130.84	-11.24	4.01	AA
Cleomedes	130.77	27.6	55.5	AA
Rimae Sosigenes	130	8.08	18.72	RI
Rimae Zupus	130	-15.46	306.24	RI
Stöfler	129.87	-41.24	5.93	AA
Dorsa Cato	128.64	0.21	47.7	DO
Röntgen	128.42	32.88	268.58	AA
Boussingault	127.61	-70.21	53.73	AA
Dorsa Aldrovandi	126.81	23.61	28.65	DO
Sinus Successus	126.65	1.12	58.52	SI
Regiomontanus	126.64	-28.28	358.91	AA
Sklodowska	125.55	-18.04	96.15	AA
Le Gentil	125.38	-74.27	283.98	AA
Rima Agricola	125.08	29.25	306.58	RI
Meton	124.7	73.57	19.63	AA
Dorsum Grabau	123.69	29.76	345.81	DO
Messala	122.4	39.31	60.06	AA
Darwin	122.18	-19.93	290.79	AA
Endymion	122.1	53.61	56.48	AA
Lacus Bonitatis	122.1	23.18	44.32	LC
Demonax	121.93	-78.09	59.36	AA
Nernst	121.52	35.57	265.36	AA
Klaproth	121.37	-69.85	333.74	AA
Orontius	121.02	-40.37	356.04	AA
Fracastorius	120.58	-21.36	33.07	AA
Rima Mairan	120.51	38.28	313.17	RI
Eddington	120.13	21.5	287.98	AA
Rimae Janssen	120	-45.8	39.26	RI
Sinus Lunicus	119.18	32.36	358.15	SI
South	119.04	57.58	309.06	AA
Riemann	117.85	39.38	87.18	AA
Letronne	117.59	-10.5	317.51	AA
Xenophanes	117.57	57.49	277.99	AA
Volta	117.15	53.9	275.23	AA
Nansen	116.9	81.17	95.38	AA
Rima Hadley	116.09	25.72	3.15	RI
Kästner	116.07	-6.9	78.94	AA
Rupes Recta	115.95	-21.67	352.3	RU
Barnard	115.73	-29.79	85.95	AA
Maurolycus	115.35	-41.77	13.92	AA
Goldschmidt	115.26	73.04	356.63	AA
Phocylides	115.18	-52.79	302.69	AA
Purbach	114.97	-25.51	357.97	AA
