00027    7.07  0.15 K20CH 139.95350  356.35166   94.78687    1.58371  0.1730555  0.27426739   2.3461365  0 MPO600179  2955  76 1853-2021 0.58 M-v 3Ek Pan        0000     (27) Euterpe            20210302
00028    7.24  0.15 K20CH  41.42653  343.95964  144.28705    9.43044  0.1516839  0.21312759   2.7757239  0 MPO600179  2994  96 1856-2021 0.56 M-v 3Ek Pan        0000     (28) Bellona            20210220
00029    6.02  0.15 K20CH  69.17705   63.25554  356.33035    6.08210  0.0730873  0.24133044   2.5550220  0 MPO600179  2466  94 1855-2021 0.59 M-v 3Ek Pan        0000     (29) Amphitrite         20210311
00030    7.56  0.15 K20CH 191.81638   87.27600  307.46798    2.09601  0.1278529  0.27102994   2.3647825  0 MPO600179  3628  77 1860-2021 0.52 M-v 3Ek Pan        0000     (30) Urania             20210319
00031    6.86  0.15 K20CH 192.51755   61.64795   31.04120   26.26682  0.2193014  0.17547982   3.1597394  0 MPO600179  2593  62 1860-2021 0.52 M-v 3Ek Pan        0000     (31) Euphrosyne         20210318
00032    7.66  0.15 K20CH 174.60531  338.91578  220.38009    5.52218  0.0817917  0.23692355   2.5866077  0 MPO600179  2608  73 1864-2021 0.58 M-v 3Ek Pan        0000     (32) Pomona             20210221
00033    8.52  0.15 K20CH 103.32688  338.44690    8.45142    1.85274  0.3315512  0.20223378   2.8745305  0 MPO600179  3578  69 1856-2021 0.47 M-v 3Ek Pan        0000     (33) Polyhymnia         20210314
00034    8.63  0.15 K20CH 261.31905  330.40711  184.34293    5.49702  0.1064492  0.22385103   2.6863545  0 MPO600179  3973  69 1864-2021 0.46 M-v 3Ek Pan        0000     (34) Circe              20210310
00035    8.65  0.15 K20CH 329.33303  213.43768  353.71444    7.93306  0.2251671  0.19026795   2.9938196  0 MPO600179  3767  66 1860-2021 0.45 M-v 3Ek Pan        0000     (35) Leukothea          20210315
00036    8.64  0.15 K20CH  69.60164   47.81128  358.20033   18.37013  0.3052055  0.21642697   2.7474415  0 MPO600179  2303  56 1855-2021 0.46 M-v 3Ek Pan        0000     (36) Atalante           20210322
00037    7.40  0.15 K20CH 119.36875   62.70881    7.25758    3.07122  0.1757109  0.22957286   2.6415308  0 MPO600179  2985  83 1855-2021 0.53 M-v 3Ek Pan        0000     (37) Fides              20210306
00038    8.55  0.15 K20CH 135.48262  169.24580  295.72212    6.97126  0.1545582  0.21744446   2.7388641  0 MPO600179  2981  63 1856-2020 0.46 M-v 3Ek Pan        0000     (38) Leda               20200928
00039    6.07  0.15 K20CH  69.65401  209.39819  156.94365   10.36993  0.1116070  0.21383936   2.7695611  0 MPO600179  6101  90 1856-2021 0.46 M-v 3Ek Pan        0000     (39) Laetitia           20210222
00040    7.16  0.15 K20CH 281.40489  269.10845   94.18980    4.25707  0.0471112  0.28864013   2.2675919  0 MPO600179  5306  73 1860-2020 0.47 M-v 3Ek Pan        0000     (40) Harmonia           20201007
00041    7.44  0.15 K20CH 263.21254   45.92602  178.06257   15.78784  0.2748403  0.21475590   2.7616755  0 MPO600179  3216  66 1866-2021 0.49 M-v 3Ek Pan        0000     (41) Daphne             20210307
00042    7.58  0.15 K20CH 358.51828  237.17983   84.19361    8.51286  0.2230666  0.25819927   2.4424895  0 MPO600179  3018  75 1856-2020 0.54 M-v 3Ek Pan        0000     (42) Isis               20200921
00043    8.01  0.15 K20CH 318.63231   16.39915  264.80604    3.47138  0.1684621  0.30145058   2.2028857  0 MPO600179  2889  74 1864-2021 0.55 M-v 3Ek Pan        0000     (43) Ariadne            20210210
00044    6.93  0.15 K20CH 238.53119  344.08363  131.49657    3.71162  0.1485450  0.26128520   2.4232200  0 MPO600179  2884  78 1864-2021 0.61 M-v 3Ek Pan        0000     (44) Nysa               20210111
00045    7.63  0.15 K20CH 170.62301   87.79275  147.59834    6.60544  0.0839830  0.21975264   2.7196519  0 MPO600179  3904  76 1866-2021 0.49 M-v 3Ek Pan        0000     (45) Eugenia            20210310
00046    8.54  0.15 K20CH 217.28082  177.39033  181.07754    2.35038  0.1725107  0.24568434   2.5247463  0 MPO600179  4103  76 1864-2021 0.51 M-v 3Ek Pan        0000     (46) Hestia             20210307
00047    8.18  0.15 K20CH 172.90735  314.90884    3.05790    4.97485  0.1299725  0.20140614   2.8823999  0 MPO600179  3389  76 1860-2021 0.48 M-v 3Ek Pan        0000     (47) Aglaja             20210318
00048    7.18  0.15 K20CH 177.55380  252.76841  183.54569    6.54750  0.0720236  0.17970050   3.1100678  0 MPO600179  3418  89 1860-2021 0.53 M-v 3Ek Pan        0000     (48) Doris              20210315
00049    7.86  0.15 K20CH 348.14532  113.03702  285.05315    3.20178  0.2212453  0.18086958   3.0966517  0 MPO600179  3224  78 1863-2021 0.53 M-v 3Ek Pan        0000     (49) Pales              20210307
00050    9.32  0.15 K20CH 295.80640  199.94016  173.49632    2.83782  0.2857256  0.22838723   2.6506650  0 MPO600179  3568  68 1857-2020 0.47 M-v 3Ek Pan        0000     (50) Virginia           20201001
00051    7.59  0.15 K20CH 259.11646    2.11957  175.96180    9.97837  0.0676773  0.27092680   2.3653826  0 MPO600179  5662  82 1863-2021 0.50 M-v 3Ek Pan        0000     (51) Nemausa            20210314
