    CK07D010  2007 06  9.6191  8.829668  0.994255  340.0966  171.1801   41.5015  20201215   3.5  4.0  C/2007 D1 (LINEAR)                                       MPC 84315
    PK07K020  2026 12 31.4490  2.299926  0.683331  347.4672  188.6465    7.6362  20201215  14.0  4.0  P/2007 K2 (Gibbs)                                        MPC 82314
    PK07Q020  2020 11 26.9740  1.864659  0.670254  162.7766  172.1599   10.2024  20201215  16.0  4.0  P/2007 Q2 (Gilmore)                                      MPC 60925
    PK07R040  2021 12  8.8493  1.955993  0.670009  282.6535   87.2223   20.2249  20201215  14.5  4.0  P/2007 R4 (Garradd)                                      MPC 75708
    PK07S010  2022 10  8.5755  2.518048  0.339617  245.7341  141.3787    5.9633  20201215  13.0  4.0  P/2007 S1 (Zhao)                                         MPC 73462
    PK07T020  2018 07 23.7343  0.654414  0.785239  359.6358    3.3750    9.7452  20201215  18.5  4.0  P/2007 T2 (Kowalski)                                     MPC 61994
    PK08C94L  2021 09 21.8096  5.419964  0.120272   80.5205   33.3309    8.3473  20201215   8.0  4.0  P/2008 CL94 (Lemmon)                                     MPC 75708
    PK08L020  2023 05 11.2420  2.332885  0.613035  141.2115  218.0054   25.8569  20201215  12.5  4.0  P/2008 L2 (Hill)                                         MPC 75709
    PK08O030  2031 12 21.6962  2.507329  0.695087  341.0874   47.5975   32.2507  20201215  13.0  4.0  P/2008 O3 (Boattini)                                     MPC 64114
    PK08Q20P  2022 01  2.1268  1.803786  0.492251   75.6205  322.0774    7.5217  20201215  15.5  4.0  P/2008 QP20 (LINEAR-Hill)                                MPC 75709
    PK08W96Z  2021 08 26.6719  1.848700  0.470354  341.8657   56.4818    7.1118  20201215  13.5  4.0  P/2008 WZ96 (LINEAR)                                     MPC 66204
    PK08Y030  2031 10 22.8832  4.461250  0.445529  238.2648  262.7910   38.7631  20201215   8.5  4.0  P/2008 Y3 (McNaught)                                     MPC 75710
    PK09B010  2026 07  3.3408  2.460934  0.634656  128.8942  297.0915   22.2192  20201215  13.0  4.0  P/2009 B1 (Boattini)                                     MPC 75710
    CK09G010  2009 04 15.2154  1.134829  0.997343  175.3904  120.4323  108.7483  20201215   9.0  4.0  C/2009 G1 (STEREO)                                       MPC 66466
    PK09O030  2031 01 17.1007  2.427889  0.687552  154.3900  183.7153   16.2648  20201215  12.5  4.0  P/2009 O3 (Hill)                                         MPC 75710
    PK09Q010  2022 05 24.1594  2.788904  0.494780  157.1251  173.9590   14.5055  20201215  11.5  4.0  P/2009 Q1 (Hill)                                         MPC 98557
    PK09Q050  2029 12 16.0036  2.910509  0.608695  209.0196  160.2637   40.9746  20201215  10.0  4.0  P/2009 Q5 (McNaught)                                     MPC 68902
    PK09T020  2031 06 16.6610  1.814476  0.765095  216.4188  215.7926   27.5471  20201215  14.0  4.0  P/2009 T2 (La Sagra)                                     MPC112389
    PK09U040  2021 02  1.1074  1.646550  0.676110  259.8401   55.3572   10.0807  20201215  14.0  4.0  P/2009 U4 (McNaught)                                     MPC 75711
    PK09W51X  2020 11 16.3629  0.800009  0.740311  118.0726   31.6829    9.5955  20201215  19.0  2.0  P/2009 WX51 (Catalina)                                   MPC105235
    PK09Y020  2026 12  5.2488  2.384704  0.635874  172.1689  262.0241   29.9294  20201215  13.0  4.0  P/2009 Y2 (Kowalski)                                     MPC 74247
    PK10A030  2025 03 13.6607  1.620456  0.733291   41.9611   64.0633   14.8617  20201215  14.0  4.0  P/2010 A3 (Hill)                                         MPC 75711
    PK10A050  2021 10 17.4881  1.702837  0.665017  307.0884  277.6636    5.7978  20201215  13.0  4.0  P/2010 A5 (LINEAR)                                       MPC 72851
    PK10B020  2020 12  4.5667  1.617505  0.479885  155.9189    0.8479    8.9307  20201215  17.0  4.0  P/2010 B2 (WISE)                                         MPC105235
    PK10C010  2028 10 21.3742  5.265853  0.258630    3.7707  141.8862    9.1282  20201215   9.5  4.0  P/2010 C1 (Scotti)                                       MPC 75008
    PK10D020  2027 07 14.0109  3.687867  0.450863  120.0904  319.8918   57.0848  20201215  16.0  4.0  P/2010 D2 (WISE)                                         MPC 75008
    PK10E020  2010 04  3.4398  2.416768  0.720218    8.3700  177.8249   15.4051  20201215  14.0  4.0  P/2010 E2 (Jarnac)                                       MPC 75009
    PK10H020  2017 09  9.0965  3.084019  0.195683  128.1895   64.2057   14.2730  20201215   6.0  4.0  P/2010 H2 (Vales)                                        MPC 72851
    PK10H030  2021 02  7.9644  0.044404  0.985487   26.1355   77.1043   23.0888  20201215  20.0  2.0  P/2010 H3 (SOHO)                                         MPC 70361
    PK10H040  2027 05 21.0159  4.826825  0.267530  179.5594   44.7465    2.3189  20201215  10.5  4.0  P/2010 H4 (Scotti)                                       MPC 73463
    PK10H050  2029 06  4.8443  6.059105  0.153631  175.2761   24.8087   14.0668  20201215  13.0  2.0  P/2010 H5 (Scotti)                                       MPC 74637
    PK10J030  2010 08 30.0302  2.446855  0.727230  157.5860  106.4100   13.2890  20201215  11.0  4.0  P/2010 J3 (McMillan)                                     MPC 98558
    PK10J81C  2011 04 19.1778  1.811063  0.776717   12.4416   30.8428   38.7212  20201215   9.0  4.0  P/2010 JC81 (WISE)                                       MPC 84315
    PK10T020  2024 03 25.5800  3.742200  0.321501  353.6627   59.0312    7.9131  20201215  11.5  4.0  P/2010 T2 (PANSTARRS)                                    MPC 74248
    PK10T20O  2022 11 19.3037  5.510941  0.054605  266.7448   43.2974    2.4791  20201215   9.0  4.0  P/2010 TO20 (LINEAR-Grauer)                              MPC 98558
    PK10U010  2026 09  5.2876  4.896627  0.248041   85.9039  280.7159    8.2143  20201215   9.5  4.0  P/2010 U1 (Boattini)                                     MPC 82316
    CK10U030  2019 02 25.8836  8.444731  0.996499   88.0708   43.0324   55.5215  20201215   1.0  4.0  C/2010 U3 (Boattini)                                     MPC119994
    PK10U55H  2028 06  8.2981  2.903273  0.563489  225.1855  232.9857    8.0453  20201215  11.0  4.0  P/2010 UH55 (Spacewatch)                                 MPC 79021
    PK10W00K  2024 07 22.4729  1.786936  0.689785   40.9879   11.3157   11.4004  20201215  14.5  2.0  P/2010 WK (LINEAR)                                       MPC 75009
