00045    7.46  0.07 K183N 310.02627   88.66580  147.67020    6.60352  0.0841368  0.21970658   2.7200320  0 MPO431490  2728  69 1866-2018 0.45 M-v 38h MPC        0000             (45) Eugenia
00046    8.36  0.06 K183N 331.67372  177.42517  181.09109    2.34980  0.1717661  0.24561411   2.5252275  0 MPO421624  2871  71 1864-2017 0.46 M-v 38h MPC        0000             (46) Hestia
00047    7.84  0.16 K183N 331.74731  314.58585    3.08287    4.97562  0.1297007  0.20155302   2.8809994  0 MPO416701  2116  70 1860-2017 0.48 M-v 38h MPC        0000             (47) Aglaja
00051    7.35  0.08 K183N 347.61900    2.66728  176.01622    9.98016  0.0669653  0.27094570   2.3652727  0 MPO431490  4598  79 1863-2017 0.57 M-v 38h MPC        0000             (51) Nemausa
00052    6.31  0.18 K183N 164.57449  343.68267  128.60811    7.47825  0.1101858  0.18115828   3.0933608  0 MPO416701  2640  78 1860-2017 0.50 M-v 38h MPC        0000             (52) Europa
00063    7.55  0.25 K183N  33.32809  295.81337  337.74171    5.77645  0.1268676  0.26594792   2.3948132  0 MPO416701  2198  64 1861-2017 0.51 M-v 38h MPC        0000             (63) Ausonia
00070    8.11  0.14 K183N 337.31268  255.31756   47.69597   11.59529  0.1804175  0.23298286   2.6156928  0 MPO416702  1872  56 1866-2017 0.45 M-v 38h MPC        0000             (70) Panopaea
00080    7.98  0.15 K183N 343.92130  139.67984  218.69842    8.67579  0.1998455  0.28335647   2.2956938  0 MPO421624  1970  63 1865-2017 0.55 M-v 38h MPC        0000             (80) Sappho
00088    7.04  0.14 K183N 323.64552   36.13939  276.46329    5.21348  0.1617097  0.21386086   2.7693755  0 MPO416702  2781  68 1866-2017 0.50 M-v 38h MPC        0000             (88) Thisbe
00115    7.51  0.12 K183N 269.28771   97.17044  308.80073   11.59331  0.1929329  0.26858389   2.3791185  0 MPO416702  1799  60 1872-2017 0.47 M-v 38h MPC        0000            (115) Thyra
00128    7.49  0.15 K183N 345.48728  303.82213   76.24308    6.24533  0.1272357  0.21616008   2.7497026  0 MPO431491  1956  66 1872-2017 0.45 M-v 38h MPC        0000            (128) Nemesis
00140    8.34  0.15 K183N 331.49337  196.66412  107.18212    3.18528  0.2141434  0.21801762   2.7340617  0 MPO416703  2832  52 1877-2017 0.44 M-v 38h MPC        0000            (140) Siwa
00144    7.91  0.17 K183N 276.29342  294.54089   76.19609    4.81421  0.2343819  0.22776857   2.6554625  0 MPO416703  1954  57 1905-2017 0.47 M-v 38h MPC        0000            (144) Vibilia
00145    8.13  0.15 K183N   8.93123   44.08499   77.41286   12.63526  0.1441187  0.22555282   2.6728251  0 MPO431491  1450  52 1885-2018 0.50 M-v 38h MPC        0000            (145) Adeona
00148    7.63  0.15 K183N 278.57944  252.78753  145.01085   25.29067  0.1868339  0.21369443   2.7708132  0 MPO421625  2565  64 1879-2017 0.52 M-v 38h MPC        0000            (148) Gallia
00173    7.66  0.01 K183N 307.26740  228.88511  148.17946   14.19653  0.2084583  0.21701372   2.7424871  0 MPO421626  2007  69 1879-2017 0.44 M-v 38h MPC        0000            (173) Ino
00187    8.16  0.15 K183N 348.72622  196.93670   21.70713   10.58784  0.2416803  0.21876168   2.7278587  0 MPO431492  1956  48 1902-2018 0.40 M-v 38h MPC        0000            (187) Lamberta
00192    7.13  0.03 K183N 252.49475   30.52897  343.13909    6.79758  0.2449781  0.26440474   2.4041223  0 MPO416703  2113  64 1879-2017 0.49 M-v 38h MPC        0000            (192) Nausikaa
00196    6.54  0.15 K183N  21.06485  198.70510   72.32288    7.26307  0.0159524  0.17947412   3.1126825  0 MPO416703  2196  73 1879-2017 0.50 M-v 38h MPC        0000            (196) Philomela
00198    8.33  0.15 K183N 283.93496   89.08025  268.26117    9.31996  0.2268388  0.25553025   2.4594679  0 MPO416703  1731  49 1898-2017 0.45 M-v 38h MPC        0000            (198) Ampella
00230    7.35  0.27 K183N 275.94835  140.14689  239.85395    9.45100  0.0613567  0.26811929   2.3818661  0 MPO416704  2048  66 1882-2017 0.48 M-v 38h MPC        0000            (230) Athamantis
00346    7.13  0.15 K183N 315.10524  292.14591   91.94601    8.75208  0.1016480  0.21085400   2.7956415  0 MPO431494  1765  57 1892-2017 0.44 M-v 38h MPC        0000            (346) Hermentaria
00354    6.44  0.37 K183N 250.05447    5.55128  140.36555   18.39827  0.1142867  0.21048746   2.7988862  0 MPO431494  2377  77 1893-2018 0.59 M-v 38h MPC        0000            (354) Eleonora
00511    6.22  0.16 K183N 263.85363  337.54861  107.60487   15.93887  0.1880894  0.17515497   3.1636450  0 MPO431497  2571  80 1903-2017 0.47 M-v 38h MPC        0000            (511) Davida
00584    8.71  0.24 K183N 327.70686   85.47405  282.03951   10.72324  0.2332960  0.26954581   2.3734549  0 MPO421631  1634  48 1906-2017 0.43 M-v 38h MPC        0000            (584) Semiramis
00674    7.42  0.15 K183N 266.03146   41.93959   58.13861   13.51013  0.1955229  0.19733914   2.9218678  0 MPO431499  1533  53 1901-2017 0.48 M-v 38h MPC        0000            (674) Rachele
